% массы <Адгезионная добавка>,% массы <Базовый битум>,% массы <Пластификатор>,% массы <Полимер>,% массы <Сшивающая добавка>,Исходная игла при 25С <Базовый битум>,Адгезионная добавка,Пластификатор,Полимер,Базовая пенетрация для расчёта пластификатора,Расчёт рецептуры на глубину проникания иглы при 25,"Глубина  проникания иглы при 0 °С, [мм-1]","Глубина  проникания иглы при 25 °С, [мм-1]","Растяжимость  при температуре 0 °С, [см]","Температура размягчения, [°С]"
0.3,89.142,6.7,3.75,0.108,70,Adhesion1,Plasticizer24,Polymer2,137,75,33.0,74.0,27.0,73.0
0.3,89.6,6.3,3.7,0.1,74,Adhesion4,Plasticizer24,Polymer1,137,75,34.0,76.0,37.0,77.0
0.3,88.743,7.099,3.75,0.108,71,Adhesion4,Plasticizer24,Polymer2,142,75,32.0,72.0,28.0,74.0
0.294,92.526,3.557,3.533,0.09,73,Adhesion1,Plasticizer24,Polymer2,125,75,32.0,68.0,21.0,74.0
0.303,90.607,5.348,3.633,0.109,77,Adhesion1,Plasticizer24,Polymer1,130,75,34.0,73.0,20.0,75.0
0.0,91.512,4.864,3.524,0.1,86,Отсутствует,Plasticizer25,Polymer2,135,75,32.0,76.0,27.0,75.0
0.0,92.216,4.093,3.591,0.1,92,Отсутствует,Plasticizer24,Polymer2,133,75,32.0,74.0,20.0,71.0
0.0,91.542,4.806,3.552,0.1,82,Отсутствует,Plasticizer24,Polymer1,130,75,33.0,77.0,17.0,73.0
0.0,92.052,4.299,3.549,0.1,87,Отсутствует,Plasticizer24,Polymer1,130,75,32.0,75.0,28.0,79.0
0.0,90.75,5.6,3.55,0.1,81,Отсутствует,Plasticizer19,Polymer3,137,75,33.0,76.0,25.0,70.0
0.3,90.613,5.497,3.548,0.042,80,Adhesion1,Plasticizer18,Polymer1,135,75,34.0,75.0,28.0,70.0
0.0,95.151,1.2,3.549,0.1,129,Отсутствует,Plasticizer18,Polymer2,141,75,32.0,90.0,37.0,77.0
0.0,90.201,6.099,3.6,0.1,80,Отсутствует,Plasticizer18,Polymer1,140,75,32.0,84.0,49.0,77.0
0.0,90.152,6.199,3.549,0.1,79,Отсутствует,Plasticizer18,Polymer1,141,75,32.0,83.0,45.0,76.0
0.0,90.0,6.4,3.5,0.1,80,Отсутствует,Plasticizer19,Polymer2,144,75,33.0,78.0,39.0,69.0
0.0,89.951,6.399,3.55,0.1,73,Отсутствует,Plasticizer18,Polymer1,115,75,40.0,73.0,57.0,77.0
0.0,90.45,6.0,3.45,0.1,74,Отсутствует,Plasticizer18,Polymer1,142,75,32.0,75.05607476635514,25.0,73.0
